Node Number	X Location (m)	Y Location (m)	Z Location (m)	
484	-2.8022e-004	1.5302e-003	0.	
485	3.7361e-004	-7.8242e-004	0.	
486	3.0926e-004	-1.5209e-003	0.	
487	-7.0644e-004	1.4703e-003	0.	
488	7.06e-004	-1.4614e-003	0.	
489	-1.3433e-003	2.343e-003	0.	
490	6.5648e-004	1.4527e-003	0.	
491	6.9107e-004	-2.3744e-003	0.	
492	-2.1726e-004	3.7092e-004	0.	
493	-7.1039e-004	-1.5284e-003	0.	
494	3.7166e-004	2.0619e-004	0.	
495	-1.3542e-003	-2.3484e-003	0.	
496	9.7487e-005	-2.5156e-003	0.	
497	-6.7397e-004	2.3747e-003	0.	
498	1.346e-003	-2.3418e-003	0.	
499	2.2396e-004	1.6328e-003	0.	
500	2.2388e-004	6.3279e-004	0.	
501	6.3269e-004	-2.1814e-004	0.	
502	1.2681e-003	2.7255e-003	0.	
503	6.3418e-004	-1.2073e-003	0.	
504	1.3404e-003	2.3486e-003	0.	
505	1.3622e-003	7.9537e-004	0.	
506	-1.3601e-003	-7.9116e-004	0.	
507	-1.2575e-003	-2.753e-003	0.	
508	-1.3555e-003	7.8287e-004	0.	
509	1.3579e-003	-7.8685e-004	0.	
510	-3.6599e-004	-1.2075e-003	0.	
511	5.9209e-004	2.5557e-003	0.	
512	-6.0505e-004	-2.5702e-003	0.	
513	-2.1731e-004	-6.2922e-004	0.	
514	-2.0751e-004	-1.6308e-003	0.	
515	-6.2643e-004	2.176e-004	0.	
516	6.2844e-005	-4.0608e-003	0.	
517	-6.2846e-004	1.2056e-003	0.	
518	-6.1779e-005	4.0606e-003	0.	
519	9.4956e-004	6.2502e-004	0.	
520	9.4589e-004	-3.7708e-004	0.	
521	6.5526e-004	-2.0829e-003	0.	
522	-8.8436e-004	-2.3543e-003	0.	
523	3.7367e-004	1.2176e-003	0.	
524	8.9119e-004	2.357e-003	0.	
525	-9.6883e-004	-5.9986e-004	0.	
526	-9.5738e-004	3.9885e-004	0.	
527	2.2394e-004	-1.3672e-003	0.	
528	-3.6352e-004	1.7924e-003	0.	
529	-6.5124e-004	2.0774e-003	0.	
530	-1.1952e-003	3.28e-003	0.	
531	1.3132e-003	4.4103e-004	0.	
532	-3.7607e-004	-9.4366e-004	0.	
533	1.1961e-003	-3.2801e-003	0.	
534	6.2396e-004	-9.4345e-004	0.	
535	-4.7698e-004	-2.2929e-003	0.	
536	-3.5063e-004	-2.201e-003	0.	
537	-6.402e-004	9.2715e-004	0.	
538	1.3544e-003	-4.3759e-004	0.	
539	5.3537e-004	-2.6493e-003	0.	
540	3.5948e-004	9.2783e-004	0.	
541	1.075e-003	-2.5687e-003	0.	
542	-1.329e-003	-4.2344e-004	0.	
